ID,Nome,Quantidade,Horario,Responsavel
1,Mangueira Acrílico,4779,13:49:00,Rodrigo
2,Polia Latão,990,14:57:00,Adriana
3,Filtro Polipropileno,9118,7:14:00,Cristiane
4,Junta Borracha natural,7143,18:56:00,Cristiane
5,Eixo Aço zincado,2827,9:16:00,Priscila
6,Terminal Níquel,8910,13:03:00,Tatiane
7,Junta Aço zincado,8960,13:34:00,Priscila
8,Conector Borracha nitrílica,452,15:22:00,Henrique
9,Arruela Cerâmica técnica,1685,8:13:00,Douglas
10,Suporte Aço SAE 1045,453,7:13:00,Renata
11,Filtro Cobre,8190,18:57:00,Larissa
12,Junta Aço galvanizado,3757,15:39:00,Tatiane
13,Conector PEEK,9411,7:14:00,Isabela
14,Arruela Aço galvanizado,3320,9:59:00,Adriana
15,Pino Titânio,9442,15:12:00,Fábio
16,Mola Borracha nitrílica,3111,9:47:00,Simone
17,Porca Zamak,9724,15:19:00,Larissa
18,Polia Aço galvanizado,5854,15:07:00,Leandro
19,Porca Borracha silicone,428,19:00:00,Leandro
20,Mangueira Cromo,0,13:45:00,Fernanda
21,Parafuso PEEK,664,13:10:00,Fábio
22,Engrenagem Magnésio,9749,18:12:00,Gustavo
23,Retentor Fibra de carbono,9129,8:57:00,Evandro
24,Retentor Aço galvanizado,5359,8:33:00,Evandro
25,Parafuso Vulcanite,4949,7:55:00,Fábio
26,Suporte Latão,3225,10:04:00,Leandro
27,Anel Latão,4987,16:00:00,Douglas
28,Filtro Aço carbono,4257,13:09:00,Renata
29,Pino Polipropileno,9597,18:12:00,Tatiane
30,Arruela PEEK,0,16:08:00,Cristiane
31,Parafuso Borracha EPDM,9810,18:55:00,Leandro
32,Mangueira Aço temperado,753,10:33:00,Thiago
33,Mola Poliamida,9671,18:14:00,Vanessa
34,Terminal Aço inox 316,6145,8:41:00,Simone
35,Arruela Aço zincado,5186,8:09:00,Gustavo
36,Porca Borracha nitrílica,6920,17:08:00,Thiago
37,Engrenagem Policarbonato,8740,12:25:00,Priscila
38,Pino Aço inox 304,5572,8:49:00,Vanessa
39,Arruela Aço D2,3617,14:49:00,Thiago
40,Porca Polietileno,3286,8:57:00,Fernanda
41,Arruela Molibdênio,5234,7:37:00,Simone
42,Mola Polipropileno,7135,17:13:00,Adriana
43,Mola Cromo,1127,13:05:00,Leandro
44,Rolamento Alumínio,5469,13:28:00,Fernanda
45,Pino Magnésio,2228,12:53:00,Douglas
46,Polia Aço temperado,2226,16:52:00,Vanessa
47,Mangueira Nylon,8866,10:49:00,Thiago
48,Anel Bronze,7032,17:20:00,Vanessa
49,Terminal Aço D2,9388,8:12:00,Rodrigo
50,Conector Zamak,9558,8:47:00,Fábio
51,Conector Nylon,4019,15:25:00,Thiago
52,Mangueira Teflon,7156,9:11:00,Renata
53,Parafuso Magnésio,1361,17:58:00,Priscila
54,Abraçadeira Aço inox 316,8931,10:38:00,Adriana
55,Parafuso Aço galvanizado,6296,10:34:00,Evandro
56,Suporte Grafite,3055,13:59:00,Douglas
57,Junta Borracha EPDM,1468,18:06:00,Thiago
58,Suporte Aço carbono,7261,12:40:00,Tatiane
59,Porca Ferro fundido cinzento,8065,10:14:00,Leandro
60,Porca Policarbonato,226,15:05:00,Simone
61,Pino Zinco,4201,14:51:00,Larissa
62,Rolamento Cobalto,8911,15:54:00,Douglas
63,Filtro Cobalto,8474,11:05:00,Larissa
64,Rolamento Aço inox 304,9920,14:43:00,Priscila
65,Eixo Alumínio,6339,15:31:00,Leandro
66,Parafuso Tungstênio,3609,16:41:00,Vanessa
67,Mola Latão,8475,15:36:00,Renata
68,Correia Vulcanite,6563,10:29:00,Tatiane
69,Engrenagem Aço H13,1592,14:58:00,Adriana
70,Conector Aço inox 304,2360,12:52:00,Vinícius
71,Abraçadeira Grafite,4315,10:46:00,Fernanda
72,Polia ABS,1858,7:36:00,Cristiane
73,Conector Bronze,4037,13:55:00,Thiago
74,Correia Aço D2,2632,7:49:00,Marcelo
75,Abraçadeira Acrílico,8636,12:41:00,Renata
76,Suporte Cobre,3036,7:53:00,Henrique
77,Mola Cobalto,1875,18:04:00,Renata
78,Engrenagem Cerâmica técnica,1651,9:36:00,Vinícius
79,Porca Cobre,51,15:20:00,Vanessa
80,Parafuso Aço inox 304,6652,9:54:00,Fábio
81,Abraçadeira Tungstênio,1373,8:09:00,Adriana
82,Correia Aço H13,3066,10:44:00,Renata
83,Abraçadeira Aço D2,714,16:17:00,Evandro
84,Anel Acrílico,3927,7:15:00,Adriana
85,Retentor Borracha neoprene,2294,18:46:00,Evandro
86,Anel PTFE,7917,17:39:00,Simone
87,Bucha Aço inox 316,6569,8:46:00,Gustavo
88,Filtro ABS,5882,14:41:00,Priscila
89,Pino Cortiça,5568,14:09:00,Cristiane
90,Retentor Alumínio anodizado,480,11:25:00,Leandro
91,Correia Aço zincado,1301,17:12:00,Gustavo
92,Polia Fibra de carbono,4395,14:56:00,Priscila
93,Polia Vulcanite,8600,11:58:00,Thiago
94,Engrenagem Poliamida,5872,13:54:00,Gustavo
95,Polia Poliamida,8926,18:42:00,Adriana
96,Anel Aço D2,9058,10:59:00,Renata
97,Pino ABS,8044,10:25:00,Cristiane
98,Conector Aço H13,8082,14:41:00,Simone
99,Polia Delrin,7470,12:03:00,Adriana
100,Suporte Borracha silicone,703,12:37:00,Larissa
101,Filtro Aço temperado,3727,13:22:00,Henrique
102,Pino Cromo,6935,17:09:00,Vanessa
103,Correia ABS,5405,15:38:00,Thiago
104,Bucha Borracha silicone,2933,9:19:00,Douglas
105,Mola Cobre,5432,9:51:00,Rodrigo
106,Abraçadeira Aço inox 304,255,17:17:00,Fernanda
107,Porca Aço carbono,9788,15:46:00,Fábio
108,Junta Nylon,3087,18:27:00,Leandro
109,Correia Ferro fundido nodular,2501,8:13:00,Evandro
110,Polia Ferro fundido cinzento,2849,14:27:00,Simone
111,Mola Vulcanite,2785,10:31:00,Henrique
112,Correia Bronze,1263,12:39:00,Larissa
113,Terminal Magnésio,1040,18:32:00,Rodrigo
114,Arruela Nylon,1381,7:18:00,Adriana
115,Bucha Ferro fundido nodular,5943,17:26:00,Vinícius
116,Rolamento Grafite,9408,11:11:00,Fábio
117,Bucha Borracha neoprene,5269,14:07:00,Larissa
118,Filtro PTFE,5776,17:01:00,Cristiane
119,Correia Teflon,4280,8:55:00,Vanessa
120,Anel Aço inox 316,1665,13:17:00,Adriana
121,Pino Borracha silicone,5463,11:40:00,Fábio
122,Mangueira Policarbonato,1847,8:25:00,Gustavo
123,Parafuso Aço SAE 1045,4978,17:52:00,Cristiane
124,Suporte Tungstênio,2936,7:16:00,Vinícius
125,Filtro Cerâmica técnica,5963,11:00:00,Tatiane
126,Terminal Aço H13,6220,11:29:00,Douglas
127,Parafuso Aço temperado,426,14:52:00,Douglas
128,Eixo Ferro fundido cinzento,1406,8:38:00,Douglas
129,Arruela Poliamida,8309,8:03:00,Fernanda
130,Junta Zamak,1274,14:42:00,Vinícius
131,Engrenagem Ferro fundido cinzento,1393,13:26:00,Evandro
132,Rolamento Fibra de carbono,83,8:02:00,Adriana
133,Porca Alumínio,8921,11:24:00,Tatiane
134,Conector Cromo,246,14:13:00,Priscila
135,Suporte Titânio,4577,9:48:00,Rodrigo
136,Engrenagem Níquel,4315,8:55:00,Priscila
137,Rolamento Aço D2,9066,10:09:00,Evandro
138,Eixo Aço SAE 1020,9837,17:20:00,Simone
139,Eixo ABS,9600,11:00:00,Evandro
140,Arruela Borracha silicone,4837,7:14:00,Tatiane
141,Conector Fibra de vidro,6158,13:44:00,Simone
142,Junta Aço H13,9742,16:53:00,Priscila
143,Arruela Ferro fundido nodular,1271,15:50:00,Thiago
144,Filtro Poliamida,4266,12:38:00,Henrique
145,Bucha Vulcanite,5354,9:27:00,Adriana
146,Suporte Nylon,385,7:19:00,Simone
147,Suporte Polietileno,7183,10:50:00,Fernanda
148,Pino Manganês,4846,11:39:00,Vinícius
149,Anel Cobalto,904,17:23:00,Cristiane
150,Bucha Bronze,5473,7:38:00,Rodrigo
151,Bucha Polipropileno,2471,15:35:00,Vinícius
152,Conector Alumínio,232,14:58:00,Fernanda
153,Mola Aço galvanizado,6706,9:16:00,Rodrigo
154,Anel Cobre,801,17:39:00,Adriana
155,Filtro PVC rígido,7693,8:08:00,Vinícius
156,Mangueira Tungstênio,9165,11:26:00,Leandro
157,Parafuso Polietileno,4408,9:55:00,Fábio
158,Porca Bronze,7488,12:47:00,Cristiane
159,Eixo Borracha EPDM,6124,7:13:00,Leandro
160,Filtro Teflon,6522,8:38:00,Renata
161,Correia Titânio,5096,17:40:00,Larissa
162,Bucha Aço inox 304,7627,14:40:00,Renata
163,Terminal Aço temperado,244,15:12:00,Thiago
164,Abraçadeira Ferro fundido cinzento,6887,16:35:00,Adriana
165,Filtro Aço inox 304,7789,18:01:00,Renata
166,Rolamento Bronze,7673,12:04:00,Isabela
167,Correia Aço carbono,2708,7:00:00,Henrique
168,Polia Aço SAE 1020,6766,12:57:00,Rodrigo
169,Porca Vulcanite,3405,7:11:00,Gustavo
170,Arruela Borracha neoprene,1807,11:08:00,Rodrigo
171,Rolamento Ferro fundido cinzento,2100,13:13:00,Fábio
172,Pino Aço temperado,4893,13:23:00,Thiago
173,Rolamento Borracha neoprene,6223,7:25:00,Priscila
174,Eixo Aço inox 316,1458,17:50:00,Tatiane
175,Junta Tungstênio,15,17:24:00,Thiago
176,Anel Alumínio,2109,12:09:00,Thiago
177,Junta Aço carbono,7183,15:00:00,Priscila
178,Retentor Ferro fundido nodular,2469,13:08:00,Renata
179,Conector Aço D2,7563,19:00:00,Vinícius
180,Terminal Aço inox 304,365,9:36:00,Adriana
181,Suporte PVC rígido,8098,12:29:00,Vinícius
182,Polia Teflon,6111,15:12:00,Evandro
183,Conector Vulcanite,822,16:04:00,Gustavo
184,Anel Policarbonato,5954,12:20:00,Tatiane
185,Mangueira Alumínio,8145,10:05:00,Tatiane
186,Polia Molibdênio,8291,11:57:00,Marcelo
187,Arruela Níquel,7339,15:48:00,Vinícius
188,Porca PTFE,6632,11:21:00,Larissa
189,Mola Grafite,9424,16:30:00,Vanessa
190,Anel Aço carbono,5007,11:01:00,Rodrigo
191,Engrenagem Aço SAE 1020,852,11:18:00,Fernanda
192,Mangueira Aço H13,6989,16:10:00,Vinícius
193,Anel Aço inox 304,4125,16:45:00,Gustavo
194,Mangueira Aço carbono,4951,11:48:00,Gustavo
195,Pino Cobre,2168,14:01:00,Thiago
196,Mangueira Aço inox 316,6857,7:33:00,Evandro
197,Mola Níquel,8661,13:33:00,Cristiane
198,Terminal Cobre,3101,15:03:00,Rodrigo
199,Parafuso Alumínio,4210,7:20:00,Tatiane
200,Retentor ABS,2659,10:57:00,Adriana
201,Retentor Cobre,9480,17:31:00,Priscila
202,Suporte ABS,1836,8:39:00,Douglas
203,Mola Borracha silicone,4033,10:17:00,Tatiane
204,Bucha Cobre,4621,8:07:00,Marcelo
205,Abraçadeira Aço galvanizado,5392,12:20:00,Isabela
206,Junta Ferro fundido nodular,6189,9:41:00,Renata
207,Bucha PEEK,7563,16:14:00,Simone
208,Terminal Aço carbono,4361,17:15:00,Fábio
209,Retentor Polipropileno,3239,16:11:00,Cristiane
210,Mola Acrílico,4207,11:44:00,Leandro
211,Rolamento Polietileno,1837,8:53:00,Gustavo
212,Mola ABS,9001,13:40:00,Henrique
213,Arruela Delrin,2385,15:49:00,Gustavo
214,Mola PVC rígido,6431,17:57:00,Vinícius
215,Anel Fibra de carbono,8420,7:35:00,Cristiane
216,Filtro Cortiça,907,14:55:00,Cristiane
217,Correia Aço galvanizado,3897,18:54:00,Renata
218,Correia Tungstênio,8561,16:52:00,Cristiane
219,Arruela Magnésio,8544,13:01:00,Fernanda
220,Correia Aço SAE 1020,2322,17:05:00,Cristiane
221,Junta Polipropileno,1715,16:42:00,Douglas
222,Mola Policarbonato,3930,17:51:00,Evandro
223,Anel Tungstênio,2960,15:43:00,Thiago
224,Abraçadeira Aço H13,6635,18:11:00,Douglas
225,Bucha Latão,3906,10:32:00,Priscila
226,Arruela Aço inox 304,6436,10:29:00,Marcelo
227,Anel Borracha nitrílica,3683,10:29:00,Rodrigo
228,Suporte Aço galvanizado,2266,11:25:00,Fábio
229,Retentor PVC rígido,5601,14:22:00,Vinícius
230,Mola Fibra de vidro,2225,8:58:00,Marcelo
231,Retentor Aço H13,3712,12:47:00,Rodrigo
232,Conector PVC rígido,578,18:53:00,Fernanda
233,Arruela Borracha EPDM,8414,16:22:00,Adriana
234,Mangueira Aço zincado,3348,17:30:00,Douglas
235,Parafuso Zamak,2332,9:19:00,Leandro
236,Pino Alumínio,2309,16:27:00,Leandro
237,Suporte Magnésio,1172,9:37:00,Larissa
238,Filtro Cromo,8365,17:26:00,Thiago
239,Junta ABS,5537,18:05:00,Fernanda
240,Anel Aço SAE 1020,5893,13:49:00,Simone
241,Eixo Ferro fundido nodular,6873,9:46:00,Thiago
242,Arruela Bronze,7179,15:39:00,Renata
243,Polia Borracha silicone,4797,13:22:00,Douglas
244,Junta Cortiça,6064,16:22:00,Fábio
245,Correia Alumínio,8133,14:51:00,Tatiane
246,Porca Teflon,8784,11:00:00,Gustavo
247,Pino Aço D2,7804,18:59:00,Marcelo
248,Retentor Zamak,7183,18:45:00,Thiago
249,Retentor Cromo,8091,7:09:00,Evandro
250,Porca Magnésio,2277,15:52:00,Fábio
251,Bucha Aço zincado,7452,11:04:00,Vinícius
252,Correia Polipropileno,8945,18:10:00,Simone
253,Engrenagem Borracha nitrílica,9045,17:45:00,Rodrigo
254,Eixo Molibdênio,8114,13:13:00,Thiago
255,Mola Bronze,6098,16:12:00,Henrique
256,Parafuso Aço zincado,9708,10:47:00,Priscila
257,Bucha Fibra de carbono,7324,7:16:00,Priscila
258,Engrenagem Aço inox 304,6428,17:48:00,Simone
259,Arruela Zinco,4236,16:23:00,Douglas
260,Bucha Tungstênio,6575,14:09:00,Larissa
261,Porca Molibdênio,5363,11:41:00,Evandro
262,Anel Grafite,7891,10:33:00,Tatiane
263,Bucha Teflon,145,17:47:00,Larissa
264,Mola Zamak,1233,18:22:00,Fábio
265,Eixo Grafite,8278,7:26:00,Isabela
266,Junta Titânio,6889,11:07:00,Isabela
267,Arruela Teflon,2086,8:28:00,Simone
268,Correia Policarbonato,4790,12:24:00,Tatiane
269,Bucha Borracha nitrílica,4935,8:01:00,Leandro
270,Anel Nylon,188,10:58:00,Adriana
271,Engrenagem Zamak,8187,15:36:00,Douglas
272,Terminal Alumínio,7472,17:21:00,Vanessa
273,Correia Grafite,1742,16:34:00,Larissa
274,Pino Aço carbono,7126,13:28:00,Gustavo
275,Correia Aço SAE 1045,4282,16:24:00,Evandro
276,Parafuso Poliamida,4990,13:33:00,Gustavo
277,Filtro Fibra de carbono,4050,14:47:00,Marcelo
278,Abraçadeira Alumínio,6673,12:21:00,Cristiane
279,Abraçadeira PEEK,504,13:29:00,Simone
280,Junta Aço temperado,385,11:08:00,Gustavo
281,Eixo Manganês,8221,7:45:00,Evandro
282,Eixo Polipropileno,6458,15:20:00,Priscila
283,Engrenagem Borracha neoprene,1853,8:39:00,Cristiane
284,Abraçadeira Cobre,3956,7:50:00,Douglas
285,Terminal Cromo,8998,15:05:00,Fábio
286,Eixo PVC rígido,544,16:50:00,Fernanda
287,Porca Fibra de vidro,9590,11:19:00,Fernanda
288,Mola Aço inox 316,5733,11:05:00,Isabela
289,Pino Policarbonato,2466,17:04:00,Isabela
290,Bucha Acrílico,549,15:30:00,Tatiane
291,Terminal Borracha nitrílica,9264,14:11:00,Isabela
292,Suporte Cerâmica técnica,3627,16:44:00,Henrique
293,Anel Ferro fundido cinzento,5754,15:38:00,Adriana
294,Engrenagem Aço D2,7298,13:56:00,Gustavo
295,Pino Zamak,8955,10:28:00,Isabela
296,Filtro Alumínio,735,8:41:00,Evandro
297,Pino Fibra de vidro,6444,18:55:00,Vanessa
298,Pino Grafite,8740,15:53:00,Cristiane
299,Porca Borracha neoprene,7816,17:12:00,Renata
300,Filtro Latão,3496,9:38:00,Vinícius
301,Porca Aço zincado,4912,15:36:00,Vanessa
302,Porca Acrílico,5929,11:16:00,Douglas
303,Rolamento Poliamida,9291,7:21:00,Priscila
304,Engrenagem PVC rígido,5317,10:32:00,Adriana
305,Parafuso Fibra de carbono,5878,18:25:00,Renata
306,Pino Tungstênio,7366,15:49:00,Cristiane
307,Bucha Zamak,4573,14:00:00,Leandro
308,Retentor Teflon,8703,10:19:00,Renata
309,Retentor Borracha silicone,472,8:19:00,Douglas
310,Correia Nylon,7511,15:48:00,Vanessa
311,Polia Cerâmica técnica,4360,11:58:00,Vanessa
312,Porca Polipropileno,4780,7:25:00,Marcelo
313,Rolamento Cerâmica técnica,3947,7:53:00,Leandro
314,Polia Cortiça,1618,18:40:00,Gustavo
315,Junta Policarbonato,942,9:33:00,Gustavo
316,Engrenagem Borracha EPDM,1010,10:25:00,Tatiane
317,Filtro Borracha EPDM,1375,17:20:00,Adriana
318,Polia Tungstênio,5364,15:54:00,Henrique
319,Polia Zamak,2082,16:45:00,Tatiane
320,Abraçadeira Polipropileno,3276,11:21:00,Larissa
321,Parafuso Cromo,6656,11:22:00,Isabela
322,Porca Borracha natural,7832,9:45:00,Isabela
323,Suporte PTFE,3077,7:03:00,Cristiane
324,Mangueira Manganês,1419,8:25:00,Priscila
325,Mola Fibra de carbono,2071,13:20:00,Priscila
326,Polia Aço inox 304,4505,8:25:00,Tatiane
327,Abraçadeira Zinco,8944,15:02:00,Isabela
328,Eixo Aço SAE 1045,6708,8:57:00,Renata
329,Terminal Tungstênio,4046,17:30:00,Isabela
330,Correia Aço inox 316,7141,10:54:00,Priscila
331,Correia Alumínio anodizado,6996,15:37:00,Fernanda
332,Parafuso Nylon,1840,13:00:00,Fábio
333,Rolamento PEEK,1639,13:14:00,Adriana
334,Conector Alumínio anodizado,3785,11:10:00,Adriana
335,Bucha PVC rígido,4072,8:36:00,Isabela
336,Correia Delrin,8276,17:18:00,Larissa
337,Mola Tungstênio,1073,17:57:00,Larissa
338,Porca Titânio,4729,15:09:00,Fernanda
339,Arruela Vulcanite,8820,12:05:00,Fernanda
340,Porca Cerâmica técnica,7213,18:33:00,Simone
341,Suporte Zinco,8542,7:09:00,Fábio
342,Engrenagem Zinco,4946,9:44:00,Renata
343,Parafuso Titânio,5337,9:41:00,Larissa
344,Retentor Aço inox 316,419,14:08:00,Thiago
