nome,quantidade,responsavel,horario
Mangueira Acrílico,4779,Rodrigo,13:49
Polia Latão,990,Adriana,14:57
Filtro Polipropileno,9118,Cristiane,07:14
Junta Borracha natural,7143,Cristiane,18:56
Eixo Aço zincado,2827,Priscila,09:16
Terminal Níquel,8910,Tatiane,13:03
Junta Aço zincado,8960,Priscila,13:34
Conector Borracha nitrílica,452,Henrique,15:22
Arruela Cerâmica técnica,1685,Douglas,08:13
Suporte Aço SAE 1045,453,Renata,07:13
Filtro Cobre,8190,Larissa,18:57
Junta Aço galvanizado,3757,Tatiane,15:39
Conector PEEK,9411,Isabela,07:14
Arruela Aço galvanizado,3320,Adriana,09:59
Pino Titânio,9442,Fábio,15:12
Mola Borracha nitrílica,3111,Simone,09:47
Porca Zamak,9724,Larissa,15:19
Polia Aço galvanizado,5854,Leandro,15:07
Porca Borracha silicone,428,Leandro,19:00
Mangueira Cromo,0,Fernanda,13:45
Parafuso PEEK,664,Fábio,13:10
Engrenagem Magnésio,9749,Gustavo,18:12
Retentor Fibra de carbono,9129,Evandro,08:57
Retentor Aço galvanizado,5359,Evandro,08:33
Parafuso Vulcanite,4949,Fábio,07:55
Suporte Latão,3225,Leandro,10:04
Anel Latão,4987,Douglas,16:00
Filtro Aço carbono,4257,Renata,13:09
Pino Polipropileno,9597,Tatiane,18:12
Arruela PEEK,0,Cristiane,16:08
Parafuso Borracha EPDM,9810,Leandro,18:55
Mangueira Aço temperado,753,Thiago,10:33
Mola Poliamida,9671,Vanessa,18:14
Terminal Aço inox 316,6145,Simone,08:41
Arruela Aço zincado,5186,Gustavo,08:09
Porca Borracha nitrílica,6920,Thiago,17:08
Engrenagem Policarbonato,8740,Priscila,12:25
Pino Aço inox 304,5572,Vanessa,08:49
Arruela Aço D2,3617,Thiago,14:49
Porca Polietileno,3286,Fernanda,08:57
Arruela Molibdênio,5234,Simone,07:37
Mola Polipropileno,7135,Adriana,17:13
Mola Cromo,1127,Leandro,13:05
Rolamento Alumínio,5469,Fernanda,13:28
Pino Magnésio,2228,Douglas,12:53
Polia Aço temperado,2226,Vanessa,16:52
Mangueira Nylon,8866,Thiago,10:49
Anel Bronze,7032,Vanessa,17:20
Terminal Aço D2,9388,Rodrigo,08:12
Conector Zamak,9558,Fábio,08:47
Conector Nylon,4019,Thiago,15:25
Mangueira Teflon,7156,Renata,09:11
Parafuso Magnésio,1361,Priscila,17:58
Abraçadeira Aço inox 316,8931,Adriana,10:38
Parafuso Aço galvanizado,6296,Evandro,10:34
Suporte Grafite,3055,Douglas,13:59
Junta Borracha EPDM,1468,Thiago,18:06
Suporte Aço carbono,7261,Tatiane,12:40
Porca Ferro fundido cinzento,8065,Leandro,10:14
Porca Policarbonato,226,Simone,15:05
Pino Zinco,4201,Larissa,14:51
Rolamento Cobalto,8911,Douglas,15:54
Filtro Cobalto,8474,Larissa,11:05
Rolamento Aço inox 304,9920,Priscila,14:43
Eixo Alumínio,6339,Leandro,15:31
Parafuso Tungstênio,3609,Vanessa,16:41
Mola Latão,8475,Renata,15:36
Correia Vulcanite,6563,Tatiane,10:29
Engrenagem Aço H13,1592,Adriana,14:58
Conector Aço inox 304,2360,Vinícius,12:52
Abraçadeira Grafite,4315,Fernanda,10:46
Polia ABS,1858,Cristiane,07:36
Conector Bronze,4037,Thiago,13:55
Correia Aço D2,2632,Marcelo,07:49
Abraçadeira Acrílico,8636,Renata,12:41
Suporte Cobre,3036,Henrique,07:53
Mola Cobalto,1875,Renata,18:04
Engrenagem Cerâmica técnica,1651,Vinícius,09:36
Porca Cobre,51,Vanessa,15:20
