nome,quantidade,responsavel,horario
Teclado,5,Daniela,08:36:07
Mouse,32,Gabriel,08:37:07
Mouse,47,Carlos,08:38:07
Monitor,27,Eduardo,08:39:07
Teclado,7,Carlos,08:40:07
Teclado,16,Helena,08:41:07
Mouse,3,Helena,08:42:07
Fone,20,Ana,08:43:07
Luminária,1,Eduardo,08:44:07
Teclado,25,Daniela,08:45:07
Fone,16,Daniela,08:46:07
Fone,43,Helena,08:47:07
Monitor,14,Carlos,08:48:07
Teclado,9,Fernanda,08:49:07
Cadeira,3,Ana,08:50:07
Fone,36,Helena,08:51:07
Cadeira,50,Bruno,08:52:07
Teclado,1,Gabriel,08:53:07
Luminária,23,Gabriel,08:54:07
Monitor,28,Bruno,08:55:07
Cadeira,44,Fernanda,08:56:07
Cadeira,7,Ana,08:57:07
Notebook,19,Gabriel,08:58:07
Teclado,10,Helena,08:59:07
Monitor,50,Carlos,09:00:07
Monitor,15,Helena,09:01:07
Luminária,28,Fernanda,09:02:07
Notebook,22,Carlos,09:03:07
Cadeira,12,Carlos,09:04:07
Cadeira,6,Gabriel,09:05:07
Cadeira,9,Eduardo,09:06:07
Webcam,24,Ana,09:07:07
Mouse,14,Gabriel,09:08:07
Cadeira,26,Bruno,09:09:07
Luminária,49,Eduardo,09:10:07
Mouse,1,Helena,09:11:07
Cadeira,7,Bruno,09:12:07
Mouse,35,Ana,09:13:07
Webcam,8,Carlos,09:14:07
Fone,42,Helena,09:15:07
Cadeira,46,Gabriel,09:16:07
Fone,16,Eduardo,09:17:07
Monitor,40,Helena,09:18:07
Teclado,30,Helena,09:19:07
Teclado,39,Helena,09:20:07
Notebook,41,Gabriel,09:21:07
Fone,33,Gabriel,09:22:07
Mouse,30,Ana,09:23:07
Webcam,26,Ana,09:24:07
Monitor,37,Bruno,09:25:07
Teclado,50,Helena,09:26:07
Notebook,18,Daniela,09:27:07
Monitor,30,Helena,09:28:07
Monitor,24,Bruno,09:29:07
Webcam,44,Gabriel,09:30:07
Notebook,29,Bruno,09:31:07
Webcam,49,Bruno,09:32:07
Notebook,11,Fernanda,09:33:07
Notebook,24,Gabriel,09:34:07
Teclado,27,Fernanda,09:35:07
Monitor,13,Carlos,09:36:07
Monitor,4,Ana,09:37:07
Fone,13,Fernanda,09:38:07
Mouse,4,Ana,09:39:07
Fone,2,Eduardo,09:40:07
Notebook,31,Bruno,09:41:07
Notebook,11,Bruno,09:42:07
Fone,22,Fernanda,09:43:07
Teclado,16,Helena,09:44:07
Mouse,2,Fernanda,09:45:07
Cadeira,13,Carlos,09:46:07
